ID,name,gwp,declared_unit,category
ec38z5d3,10 mm PARSOL,38.9 kgCO2e,25 kg,Flat_Glass_Panes
ec3ww9sr,10 mm PLANILUX,32.4 kgCO2e,25 kg,Flat_Glass_Panes
ec34cn41,12 mm PARSOL,46.6 kgCO2e,30 kg,Flat_Glass_Panes
ec3ffyaa,12 mm PLANILUX,38.9 kgCO2e,30 kg,Flat_Glass_Panes
ec39ruke,12 mm thickness Float Glass,38.7 kgCO2e,30 kg,Flat_Glass_Panes
ec3fqbef,2 mm PLANILUX,6.48 kgCO2e,5 kg,Flat_Glass_Panes
ec3ed6u4,3 mm PARSOL,11.7 kgCO2e,7.5 kg,Flat_Glass_Panes
ec3ns8hn,3 mm PLANILUX,9.72 kgCO2e,7.5 kg,Flat_Glass_Panes
ec321k9m,3 mm REFLECTASOL on PLANILUX,9.72 kgCO2e,7.5 kg,Flat_Glass_Panes
ec3gjcry,3.5 mm PARSOL,13.6 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3bmejc,3.5 mm PLANILUX,11.3 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3butdh,3.5 mm REFLECTASOL on PARSOL,13.6 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3u36g8,3.5 mm thickness Float Glass,11.3 kgCO2e,8.75 kg,Flat_Glass_Panes
ec3j7ycw,4 mm PARSOL,15.5 kgCO2e,10 kg,Flat_Glass_Panes
ec3pdqxw,4 mm PLANILUX,13 kgCO2e,10 kg,Flat_Glass_Panes
ec30khkj,4 mm thickness Float Glass,12.9 kgCO2e,10 kg,Flat_Glass_Panes
ec3sfmpb,5 mm PARSOL,19.4 kgCO2e,12.5 kg,Flat_Glass_Panes
ec3816xc,5 mm PLANILUX,16.2 kgCO2e,12.5 kg,Flat_Glass_Panes
ec3a74eh,5 mm REFLECTASOL on PARSOL,19.4 kgCO2e,12.5 kg,Flat_Glass_Panes
ec354unr,5 mm thickness Float Glass,16.1 kgCO2e,12.5 kg,Flat_Glass_Panes
ec3qfmfa,6 mm PARSOL,23.3 kgCO2e,15 kg,Flat_Glass_Panes
ec3gkzyu,6 mm PLANILUX,19.4 kgCO2e,15 kg,Flat_Glass_Panes
ec392ntc,6 mm REFLECTASOL on PARSOL,23.3 kgCO2e,15 kg,Flat_Glass_Panes
ec336f0w,6 mm thickness Float Glass,19.3 kgCO2e,15 kg,Flat_Glass_Panes
ec3burec,8 mm PARSOL,31.1 kgCO2e,20 kg,Flat_Glass_Panes
ec35nqk0,8 mm PLANILUX,25.9 kgCO2e,20 kg,Flat_Glass_Panes
ec3y0wfj,8 mm thickness Float Glass,25.8 kgCO2e,20 kg,Flat_Glass_Panes
ec3jfy87,S-P-09223 SGG PARSOLÂ® 6 mm,20.5 kgCO2e,1.0 m2,Flat_Glass_Panes
ec3rdguw,S-P-09810 Magnetron coated glass On SGG PARSOL 4 mm,15.8 kgCO2e,1.0 m2,Flat_Glass_Panes
ec3rmp3d,S-P-09811 Magnetron coated glass on SGG PARSOL 6 mm,22.7 kgCO2e,1.0 m2,Flat_Glass_Panes
